INSERT INTO Medicines (name, description, unit, price, stock_quantity, manufacturer, expiry_date) VALUES
                                                                                                      ('Paracetamol', 'Thuốc giảm đau, hạ sốt', 'Viên', 100.00, 500, 'ABC Pharma', '2027-12-31'),
                                                                                                      ('Ibuprofen', 'Thuốc chống viêm, giảm đau', 'Viên', 120.00, 300, 'XYZ Pharmaceuticals', '2026-08-15'),
                                                                                                      ('Amoxicillin', 'Kháng sinh điều trị nhiễm trùng', 'Viên', 150.00, 400, 'MediCo', '2025-11-30'),
                                                                                                      ('Aspirin', 'Thuốc giảm đau, chống viêm', 'Viên', 80.00, 600, 'PharmaLife', '2025-05-20'),
                                                                                                      ('Ciprofloxacin', 'Kháng sinh phổ rộng', 'Viên', 180.00, 250, 'HealthCorp', '2026-06-10'),
                                                                                                      ('Loratadine', 'Thuốc kháng histamine, giảm dị ứng', 'Viên', 90.00, 700, 'AllerCo', '2027-02-28'),
                                                                                                      ('Omeprazole', 'Thuốc ức chế bơm proton, điều trị loét dạ dày', 'Viên', 130.00, 300, 'StomachCare', '2026-01-25'),
                                                                                                      ('Metformin', 'Thuốc điều trị tiểu đường loại 2', 'Viên', 160.00, 400, 'DiabetesRx', '2025-12-31'),
                                                                                                      ('Simvastatin', 'Thuốc giảm mỡ máu', 'Viên', 200.00, 350, 'CardioMed', '2027-04-10'),
                                                                                                      ('Losartan', 'Thuốc điều trị tăng huyết áp', 'Viên', 140.00, 500, 'HeartHealth', '2026-09-15'),
                                                                                                      ('Hydrochlorothiazide', 'Thuốc lợi tiểu, điều trị cao huyết áp', 'Viên', 110.00, 450, 'PharmaLife', '2026-03-22'),
                                                                                                      ('Levothyroxine', 'Thuốc điều trị suy giáp', 'Viên', 160.00, 350, 'ThyroidMed', '2026-11-05'),
                                                                                                      ('Furosemide', 'Thuốc lợi tiểu', 'Viên', 70.00, 600, 'Medica', '2025-07-18'),
                                                                                                      ('Diazepam', 'Thuốc an thần, giảm lo âu', 'Viên', 120.00, 300, 'RelaxPharma', '2026-10-09'),
                                                                                                      ('Miconazole', 'Thuốc trị nấm ngoài da', 'Kem', 50.00, 400, 'SkinCare', '2025-04-30'),
                                                                                                      ('Nystatin', 'Thuốc trị nấm miệng và đường ruột', 'Viên', 140.00, 350, 'MediCo', '2026-02-14'),
                                                                                                      ('Doxycycline', 'Kháng sinh điều trị nhiễm trùng', 'Viên', 160.00, 500, 'BioPharma', '2026-07-20'),
                                                                                                      ('Prednisone', 'Thuốc giảm viêm, điều trị dị ứng', 'Viên', 100.00, 450, 'CureMed', '2027-01-01'),
                                                                                                      ('Clindamycin', 'Kháng sinh trị mụn và nhiễm trùng', 'Gel', 80.00, 200, 'DermPharma', '2026-09-10'),
                                                                                                      ('Fluoxetine', 'Thuốc điều trị trầm cảm, rối loạn lo âu', 'Viên', 150.00, 400, 'MindCare', '2026-12-15'),
                                                                                                      ('Sildenafil', 'Thuốc điều trị rối loạn cương dương', 'Viên', 250.00, 300, 'GenPharma', '2025-08-20'),
                                                                                                      ('Fexofenadine', 'Thuốc kháng histamine', 'Viên', 120.00, 500, 'AllerPharma', '2026-11-05'),
                                                                                                      ('Cetirizine', 'Thuốc kháng histamine, giảm dị ứng', 'Viên', 90.00, 600, 'Antihist', '2027-03-31'),
                                                                                                      ('Paroxetine', 'Thuốc chống trầm cảm, lo âu', 'Viên', 130.00, 350, 'MedPsych', '2026-06-20'),
                                                                                                      ('Tamsulosin', 'Thuốc điều trị phì đại tuyến tiền liệt', 'Viên', 180.00, 450, 'UroMed', '2025-12-01'),
                                                                                                      ('Benzoyl Peroxide', 'Thuốc trị mụn', 'Kem', 40.00, 700, 'ClearSkin', '2027-04-15'),
                                                                                                      ('Atenolol', 'Thuốc điều trị tăng huyết áp và đau thắt ngực', 'Viên', 110.00, 500, 'CardioPharma', '2026-05-17'),
                                                                                                      ('Fluticasone', 'Thuốc xịt mũi trị viêm mũi dị ứng', 'Xịt', 95.00, 300, 'RespiratoryMed', '2026-07-30'),
                                                                                                      ('Sertraline', 'Thuốc chống trầm cảm, lo âu', 'Viên', 140.00, 600, 'MentalWell', '2026-08-25'),
                                                                                                      ('Albuterol', 'Thuốc xịt điều trị hen suyễn', 'Xịt', 80.00, 500, 'AsthmaCare', '2026-12-10'),
                                                                                                      ('Diphenhydramine', 'Thuốc kháng histamine, giảm dị ứng', 'Viên', 70.00, 550, 'MedHistamine', '2027-05-12'),
                                                                                                      ('Tadalafil', 'Thuốc điều trị rối loạn cương dương', 'Viên', 220.00, 400, 'VitalPharma', '2025-09-18'),
                                                                                                      ('Ranitidine', 'Thuốc điều trị loét dạ dày', 'Viên', 120.00, 350, 'GastroCare', '2025-10-15'),
                                                                                                      ('Gabapentin', 'Thuốc điều trị đau thần kinh', 'Viên', 150.00, 300, 'NeuroMed', '2026-05-10'),
                                                                                                      ('Verapamil', 'Thuốc điều trị huyết áp cao và đau thắt ngực', 'Viên', 170.00, 450, 'HeartPharma', '2026-01-30'),
                                                                                                      ('Esomeprazole', 'Thuốc điều trị trào ngược dạ dày thực quản', 'Viên', 140.00, 500, 'GastroPharma', '2026-11-25'),
                                                                                                      ('Lisinopril', 'Thuốc điều trị tăng huyết áp', 'Viên', 130.00, 550, 'CardioMed', '2027-02-20'),
                                                                                                      ('Zolpidem', 'Thuốc an thần, điều trị mất ngủ', 'Viên', 120.00, 300, 'SleepCare', '2026-09-10');

INSERT INTO Diseases (name_vi, name_en, description) VALUES
                                                         ('Rối loạn lo âu', 'Panic Disorder', NULL),
                                                         ('Polyp dây thanh âm', 'Vocal Cord Polyp', NULL),
                                                         ('Hội chứng Turner', 'Turner Syndrome', NULL),
                                                         ('Cryptorchidism', 'Cryptorchidism', NULL),
                                                         ('Ngộ độc do ethylene glycol', 'Poisoning due to Ethylene Glycol', NULL),
                                                         ('Viêm âm đạo teo', 'Atrophic Vaginitis', NULL),
                                                         ('Gãy xương bàn tay', 'Fracture of the Hand', NULL),
                                                         ('Viêm mô tế bào hoặc áp-xe ở miệng', 'Cellulitis or Abscess of Mouth', NULL),
                                                         ('Rối loạn căn chỉnh mắt', 'Eye Alignment Disorder', NULL),
                                                         ('Đau đầu sau khi chọc dò tủy sống', 'Headache after Lumbar Puncture', NULL),
                                                         ('Hẹp môn vị', 'Pyloric Stenosis', NULL),
                                                         ('Rối loạn tuyến nước bọt', 'Salivary Gland Disorder', NULL),
                                                         ('Osteochondrosis', 'Osteochondrosis', NULL),
                                                         ('Chấn thương gối', 'Injury to the Knee', NULL),
                                                         ('Rối loạn chuyển hóa', 'Metabolic Disorder', NULL),
                                                         ('Viêm âm đạo', 'Vaginitis', NULL),
                                                         ('Hội chứng xoang bệnh tim', 'Sick Sinus Syndrome', NULL),
                                                         ('Chứng ù tai không rõ nguyên nhân', 'Tinnitus of Unknown Cause', NULL),
                                                         ('Glaucoma', 'Glaucoma', NULL),
                                                         ('Rối loạn ăn uống', 'Eating Disorder', NULL),
                                                         ('Cơn thiếu máu cục bộ thoáng qua', 'Transient Ischemic Attack', NULL),
                                                         ('Viêm thận bể thận', 'Pyelonephritis', NULL),
                                                         ('Chấn thương cơ vai', 'Rotator Cuff Injury', NULL),
                                                         ('Rối loạn đau mãn tính', 'Chronic Pain Disorder', NULL),
                                                         ('Vấn đề trong thai kỳ', 'Problem during Pregnancy', NULL),
                                                         ('Ung thư gan', 'Liver Cancer', NULL),
                                                         ('Atelectasis', 'Atelectasis', NULL),
                                                         ('Chấn thương tay', 'Injury to the Hand', NULL),
                                                         ('Sỏi ống mật chủ', 'Choledocholithiasis', NULL),
                                                         ('Chấn thương hông', 'Injury to the Hip', NULL),
                                                         ('Xơ gan', 'Cirrhosis', NULL),
                                                         ('Phình động mạch chủ ngực', 'Thoracic Aortic Aneurysm', NULL),
                                                         ('Chảy máu dưới màng cứng', 'Subdural Hemorrhage', NULL),
                                                         ('Bệnh võng mạc do tiểu đường', 'Diabetic Retinopathy', NULL),
                                                         ('Fibromyalgia', 'Fibromyalgia', NULL),
                                                         ('Thiếu máu ruột', 'Ischemia of the Bowel', NULL),
                                                         ('Hội chứng rượu thai', 'Fetal Alcohol Syndrome', NULL),
                                                         ('Viêm phúc mạc', 'Peritonitis', NULL),
                                                         ('Chấn thương bụng', 'Injury to the Abdomen', NULL),
                                                         ('Viêm tụy cấp', 'Acute Pancreatitis', NULL),
                                                         ('Viêm tắc tĩnh mạch', 'Thrombophlebitis', NULL),
                                                         ('Hen suyễn', 'Asthma', NULL),
                                                         ('Vật thể lạ trong âm đạo', 'Foreign Body in the Vagina', NULL),
                                                         ('Hội chứng chân không nghỉ', 'Restless Leg Syndrome', NULL),
                                                         ('Bệnh phổi tắc nghẽn mạn tính', 'Emphysema', NULL),
                                                         ('Sán cysticercosis', 'Cysticercosis', NULL),
                                                         ('Nạo thai', 'Induced Abortion', NULL),
                                                         ('Hội chứng mọc răng', 'Teething Syndrome', NULL),
                                                         ('Viêm dạ dày ruột do nhiễm trùng', 'Infectious Gastroenteritis', NULL),
                                                         ('Viêm xoang cấp', 'Acute Sinusitis', NULL),
                                                         ('Rối loạn tâm thần liên quan đến chất', 'Substance-related Mental Disorder', NULL),
                                                         ('Trầm cảm sau sinh', 'Postpartum Depression', NULL),
                                                         ('Xơ vữa động mạch vành', 'Coronary Atherosclerosis', NULL),
                                                         ('Viêm cột sống', 'Spondylitis', NULL),
                                                         ('U tuyến yên', 'Pituitary Adenoma', NULL),
                                                         ('U xơ tử cung', 'Uterine Fibroids', NULL),
                                                         ('Chảy máu bất thường ngoài kỳ kinh', 'Idiopathic Nonmenstrual Bleeding', NULL),
                                                         ('Bọc mí mắt', 'Chalazion', NULL),
                                                         ('Xoắn buồng trứng', 'Ovarian Torsion', NULL),
                                                         ('Bệnh võng mạc do huyết áp cao', 'Retinopathy due to High Blood Pressure', NULL),
                                                         ('Nhiễm nấm âm đạo', 'Vaginal Yeast Infection', NULL),
                                                         ('Viêm tai xương chũm', 'Mastoiditis', NULL),
                                                         ('Chấn thương phổi', 'Lung Contusion', NULL),
                                                         ('Bệnh cơ tim tắc nghẽn phì đại (HOCM)', 'Hypertrophic Obstructive Cardiomyopathy (HOCM)', NULL),
                                                         ('Móng chân mọc ngược', 'Ingrown Toe Nail', NULL),
                                                         ('Phế quản eo phổi', 'Pulmonary Eosinophilia', NULL),
                                                         ('Rối loạn giác mạc', 'Corneal Disorder', NULL),
                                                         ('Vật thể lạ trong ống tiêu hóa', 'Foreign Body in the Gastrointestinal Tract', NULL),
                                                         ('Viêm nội nhãn', 'Endophthalmitis', NULL),
                                                         ('Suy hấp thu ruột', 'Intestinal Malabsorption', NULL),
                                                         ('Mụn cóc virus', 'Viral Warts', NULL),
                                                         ('Hyperhidrosis', 'Hyperhidrosis', NULL),
                                                         ('Đột quỵ', 'Stroke', NULL),
                                                         ('Nang lông tụy', 'Pilonidal Cyst', NULL),
